levels,themes,formats,teams_l,teams_r,scores_l,scores_r,times
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO3),EDG,FPX,2,0,2023/05/19 17:00
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO3),EDG,ASE,0,2,2023/05/18 17:00
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO3),EDG,DRG,2,0,2023/05/16 20:00
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO3),EDG,ME,2,0,2023/05/11 20:00
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO3),EDG,4AM,2,0,2023/05/04 17:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO5),EDG,ASE,2,3,2023/04/16 17:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,KONE,2,0,2023/04/14 17:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,FPX,2,1,2023/04/12 20:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,NTER,2,0,2023/04/01 17:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,DRG,2,1,2023/03/31 14:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,TYL,2,0,2023/03/29 19:45
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,BLG,2,0,2023/03/24 17:00
C级,FGC 2023: ACT1FGC无畏契约邀请赛,(BO3),EDG,TTG,2,0,2023/03/23 19:00
S级,VCT 2023: 圣保罗季前邀请赛,(BO3),EDG,100T,1,2,2023/02/24 07:00
S级,VCT 2022: 全球冠军赛,(BO3),EDG,TL,0,2,2022/09/04 23:50
S级,VCT 2022: 全球冠军赛,(BO3),EDG,PRX,1,2,2022/08/31 22:20
A级,VCT 2022: 东亚联赛 最终入围赛,(BO5),EDG,ONS,3,0,2022/08/14 15:00
A级,VCT 2022: 东亚联赛 最终入围赛,(BO3),EDG,NTH,2,0,2022/08/12 17:25
A级,VCT 2022: 东亚联赛 最终入围赛,(BO3),EDG,RC,2,0,2022/08/11 15:00
A级,VCT 2022: 东亚联赛 最终入围赛,(BO3),EDG,ONS,2,0,2022/08/08 15:00
